Match #,Red 1,Red 2,Red 3,Blue 1,Blue 2,Blue 3
1,2834,2337,1218,2013,3707,1640
2,694,1706,1619,3940,384,359
3,4587,4265,3452,1024,2826,88
4,2791,2590,829,3478,1102,1731
5,4967,1741,865,319,118,1747
6,1746,2771,133,868,2056,5406
7,2614,3357,1533,195,3847,2168
8,2481,2363,234,2655,624,4028
9,469,33,494,1806,708,2451
10,1710,3538,1720,6800,2468,217
11,302,3641,4499,225,20,245
12,1533,67,5254,2337,340,4944
13,4967,868,195,1706,1218,384
14,2451,4587,2771,359,2590,624
15,4028,319,708,1640,1746,118
16,1720,3452,245,2834,469,2791
17,217,2655,2826,67,20,1102
18,2614,5406,340,494,865,302
19,1619,2363,1024,694,5254,2468
20,4265,3707,2168,234,3847,1747
21,829,3940,4499,88,1710,2481
22,6800,1731,1741,33,133,4944
23,3641,2013,3357,3538,2056,1806
24,3478,1746,624,5254,2834,225
25,1218,708,245,1024,217,3847
26,20,829,4265,340,2451,694
27,88,2363,302,195,1640,4944
28,2655,359,133,4499,2468,494
29,1747,1710,3478,2056,2771,3452
30,4967,3940,1720,2337,2168,3641
31,2013,6800,4587,1706,2614,319
32,33,2481,384,2791,3357,3538
33,865,1806,2590,2826,4028,1741
34,469,1102,868,234,225,1731
35,67,118,1619,3707,5406,1533
36,2771,494,4265,195,245,6800
37,5254,319,4587,384,2655,3641
38,359,20,3357,865,1024,1720
39,868,3847,3538,2590,88,469
40,340,2168,1218,118,1102,33
41,3707,624,2056,2468,1731,1706
42,4028,1710,694,67,133,2834
43,829,708,2013,4944,2791,4967
44,1806,2826,225,2363,1533,1640
45,5406,234,2451,3452,1741,2337
46,302,1747,1746,1619,2481,217
47,3478,469,4499,3940,2614,67
48,1720,1731,340,2771,1218,4028
49,3847,865,225,4967,494,1710
50,708,359,1640,3452,3357,5254
51,5406,2834,2655,1806,829,195
52,2590,217,20,234,2013,3940
53,245,694,3478,2168,868,624
54,1024,118,6800,384,302,2056
55,2468,2614,2337,2826,1747,2481
56,4944,2451,1619,1102,3538,319
57,4499,2791,3707,1533,4587,1741
58,1706,33,88,1746,3641,2363
59,133,384,1806,4265,1720,3478
60,1640,4028,2468,469,2168,2013
61,1731,4944,2655,3357,694,1747
62,2481,340,195,4587,4967,2590
63,3707,234,3538,2614,5254,1746
64,3641,1533,1024,494,133,1102
65,67,225,1706,20,2791,3452
66,33,6800,3847,359,829,2834
67,88,2337,865,245,1619,2056
68,1741,868,1710,4265,302,708
69,624,1218,2826,3940,5406,319
70,118,217,2771,2363,4499,2451
71,1731,2013,3847,384,3452,1746
72,1102,4967,88,6800,4028,3707
73,494,1720,4587,1747,1640,868
74,1218,5254,2791,133,4265,865
75,2826,1619,469,3641,195,1710
76,4944,2590,1024,624,4499,2614
77,2363,67,2056,2168,2451,829
78,217,2337,5406,225,694,33
79,319,245,2481,340,1806,359
80,234,2468,20,708,1533,2771
81,118,3478,302,3538,2655,1706
82,1741,2834,2363,3357,3940,494
83,2168,1640,2791,1710,1024,5406
84,829,3452,868,4028,1619,2614
85,2056,1720,694,4499,2826,234
86,1731,359,67,2013,3538,4265
87,3847,4944,3940,118,4587,1806
88,2468,225,384,1741,88,340
89,2834,865,1102,2771,1706,2481
90,2590,1747,708,1218,3641,6800
91,319,195,3707,217,3478,33
92,2655,2451,1533,245,1746,4967
93,133,624,3357,2337,302,469
94,5254,1806,2168,20,88,1731
95,708,340,2826,1619,4499,2834
96,225,494,118,1720,2481,2013
97,868,6800,3940,865,3707,2655
98,217,1706,4028,3847,4265,2337
99,3452,694,1533,302,319,2590
100,1747,195,5254,2451,2791,133
101,1102,384,2614,1710,245,2363
102,1640,2056,20,624,33,4967
103,3357,1746,2468,4587,67,1218
104,5406,3478,3641,359,4944,234
105,3538,2771,469,1741,1024,829
